6.1270		(g cm-3)
138.9055		(g mol-1)
57			Z 
17			edges
3.89246E+01		K
6.26630E+00		L I
5.89060E+00		L II
5.48270E+00		L III
1.36130E+00		M I
1.20440E+00		M II
1.12340E+00		M III
8.48500E-01		M IV
8.31700E-01		M V
2.70400E-01		N I
2.05800E-01		N II
1.91400E-01		N III
9.89000E-02		N IV
9.89000E-02		N V
3.23000E-02		O I
1.44000E-02		O II
1.44000E-02		O III
      E            f1          f2        []      	[/]      	[]      	[]K      lambda
5.295467E+00  4.69684E+01  3.5875E+00  2.0523E+02  5.2640E+00  2.1049E+02  0.000E+00  2.341E-01
5.373046E+00  4.57290E+01  3.5036E+00  1.9754E+02  5.2125E+00  2.0275E+02  0.000E+00  2.308E-01
5.455286E+00  4.25859E+01  3.4185E+00  1.8983E+02  5.1587E+00  1.9499E+02  0.000E+00  2.273E-01
5.477217E+00  3.89711E+01  3.3963E+00  1.8785E+02  5.1445E+00  1.9299E+02  0.000E+00  2.264E-01
5.510113E+00  4.25027E+01  1.0377E+01  5.7051E+02  5.1233E+00  5.7563E+02  0.000E+00  2.250E-01
5.592354E+00  4.55088E+01  1.0105E+01  5.4739E+02  5.0707E+00  5.5246E+02  0.000E+00  2.217E-01
5.660855E+00  4.63900E+01  9.8871E+00  5.2911E+02  5.0275E+00  5.3414E+02  0.000E+00  2.190E-01
5.772788E+00  4.68156E+01  9.5487E+00  5.0109E+02  4.9579E+00  5.0605E+02  0.000E+00  2.148E-01
5.861147E+00  4.58940E+01  9.3016E+00  4.8077E+02  4.9040E+00  4.8567E+02  0.000E+00  2.115E-01
5.884710E+00  4.42328E+01  9.2377E+00  4.7555E+02  4.8898E+00  4.8044E+02  0.000E+00  2.107E-01
5.920053E+00  4.61993E+01  1.2650E+01  6.4732E+02  4.8685E+00  6.5219E+02  0.000E+00  2.094E-01
6.008412E+00  4.81320E+01  1.2328E+01  6.2157E+02  4.8159E+00  6.2639E+02  0.000E+00  2.064E-01
6.051453E+00  4.86016E+01  1.2176E+01  6.0955E+02  4.7906E+00  6.1434E+02  0.000E+00  2.049E-01
6.140974E+00  4.91977E+01  1.1871E+01  5.8559E+02  4.7385E+00  5.9033E+02  0.000E+00  2.019E-01
6.234969E+00  4.91273E+01  1.1566E+01  5.6197E+02  4.6847E+00  5.6665E+02  0.000E+00  1.989E-01
6.260034E+00  4.83790E+01  1.1488E+01  5.5593E+02  4.6705E+00  5.6060E+02  0.000E+00  1.981E-01
6.297632E+00  4.95027E+01  1.3155E+01  6.3282E+02  4.6493E+00  6.3747E+02  0.000E+00  1.969E-01
6.391626E+00  5.08069E+01  1.2861E+01  6.0959E+02  4.5970E+00  6.1419E+02  0.000E+00  1.940E-01
6.469004E+00  5.14451E+01  1.2629E+01  5.9140E+02  4.5545E+00  5.9595E+02  0.000E+00  1.917E-01
6.915365E+00  5.35912E+01  1.1409E+01  4.9982E+02  4.3205E+00  5.0414E+02  0.000E+00  1.793E-01
7.392525E+00  5.48511E+01  1.0292E+01  4.2176E+02  4.0897E+00  4.2585E+02  0.000E+00  1.677E-01
7.902609E+00  5.56931E+01  9.2671E+00  3.5525E+02  3.8629E+00  3.5911E+02  0.000E+00  1.569E-01
8.447890E+00  5.62810E+01  8.3384E+00  2.9902E+02  3.6411E+00  3.0266E+02  0.000E+00  1.468E-01
9.030794E+00  5.67219E+01  7.4904E+00  2.5127E+02  3.4251E+00  2.5470E+02  0.000E+00  1.373E-01
9.653919E+00  5.69970E+01  6.6873E+00  2.0985E+02  3.2155E+00  2.1307E+02  0.000E+00  1.284E-01
1.032004E+01  5.71703E+01  5.9756E+00  1.7541E+02  3.0130E+00  1.7842E+02  0.000E+00  1.201E-01
1.103212E+01  5.73491E+01  5.3423E+00  1.4670E+02  2.8179E+00  1.4952E+02  0.000E+00  1.124E-01
1.179334E+01  5.74399E+01  4.7625E+00  1.2234E+02  2.6307E+00  1.2497E+02  0.000E+00  1.051E-01
1.260708E+01  5.74834E+01  4.2378E+00  1.0183E+02  2.4517E+00  1.0428E+02  0.000E+00  9.834E-02
1.347697E+01  5.74549E+01  3.7621E+00  8.4567E+01  2.2810E+00  8.6848E+01  0.000E+00  9.200E-02
1.440688E+01  5.73980E+01  3.3427E+00  7.0288E+01  2.1188E+00  7.2407E+01  0.000E+00  8.606E-02
1.540095E+01  5.73236E+01  2.9725E+00  5.8469E+01  1.9651E+00  6.0434E+01  0.000E+00  8.050E-02
1.646362E+01  5.72376E+01  2.6451E+00  4.8671E+01  1.8199E+00  5.0491E+01  0.000E+00  7.531E-02
1.759961E+01  5.71439E+01  2.3557E+00  4.0549E+01  1.6832E+00  4.2232E+01  0.000E+00  7.045E-02
1.881398E+01  5.70451E+01  2.0999E+00  3.3812E+01  1.5547E+00  3.5367E+01  0.000E+00  6.590E-02
2.011215E+01  5.69428E+01  1.8735E+00  2.8221E+01  1.4344E+00  2.9655E+01  0.000E+00  6.165E-02
2.149988E+01  5.68376E+01  1.6731E+00  2.3575E+01  1.3220E+00  2.4897E+01  0.000E+00  5.767E-02
2.298338E+01  5.67295E+01  1.4955E+00  1.9712E+01  1.2172E+00  2.0929E+01  0.000E+00  5.395E-02
2.456923E+01  5.66175E+01  1.3359E+00  1.6472E+01  1.1198E+00  1.7592E+01  0.000E+00  5.046E-02
2.626450E+01  5.64980E+01  1.1917E+00  1.3745E+01  1.0295E+00  1.4774E+01  0.000E+00  4.721E-02
2.807676E+01  5.63624E+01  1.0525E+00  1.1356E+01  9.4590E-01  1.2302E+01  0.000E+00  4.416E-02
3.001405E+01  5.61951E+01  9.2569E-01  9.3433E+00  8.6874E-01  1.0212E+01  0.000E+00  4.131E-02
3.208502E+01  5.59805E+01  8.1452E-01  7.6906E+00  7.9767E-01  8.4883E+00  0.000E+00  3.864E-02
3.429889E+01  5.56735E+01  7.1730E-01  6.3355E+00  7.3234E-01  7.0678E+00  0.000E+00  3.615E-02
3.666551E+01  5.51093E+01  6.3221E-01  5.2235E+00  6.7241E-01  5.8959E+00  0.000E+00  3.381E-02
3.814611E+01  5.42292E+01  5.8681E-01  4.6602E+00  6.3926E-01  5.2995E+00  0.000E+00  3.250E-02
3.872998E+01  5.30188E+01  5.7031E-01  4.4609E+00  6.2700E-01  5.0879E+00  0.000E+00  3.201E-02
3.888567E+01  5.15674E+01  5.6603E-01  4.4097E+00  6.2380E-01  5.0335E+00  0.000E+00  3.188E-02
3.911922E+01  5.30359E+01  3.4178E+00  2.6467E+01  6.1906E-01  2.7086E+01  2.213E+01  3.169E-02
3.919543E+01  5.33483E+01  3.4071E+00  2.6334E+01  6.1753E-01  2.6952E+01  2.202E+01  3.163E-02
3.970309E+01  5.43636E+01  3.3377E+00  2.5467E+01  6.0750E-01  2.6074E+01  2.131E+01  3.123E-02
4.189992E+01  5.56912E+01  3.0600E+00  2.2124E+01  5.6738E-01  2.2691E+01  1.856E+01  2.959E-02
4.479101E+01  5.63415E+01  2.7431E+00  1.8553E+01  5.2163E-01  1.9075E+01  1.561E+01  2.768E-02
4.788159E+01  5.67055E+01  2.4574E+00  1.5548E+01  4.7996E-01  1.6028E+01  1.311E+01  2.589E-02
5.118542E+01  5.69403E+01  2.1998E+00  1.3019E+01  4.4206E-01  1.3461E+01  1.100E+01  2.422E-02
5.471721E+01  5.70962E+01  1.9636E+00  1.0871E+01  4.0765E-01  1.1279E+01  9.202E+00  2.266E-02
5.849270E+01  5.72003E+01  1.7523E+00  9.0752E+00  3.7644E-01  9.4516E+00  7.692E+00  2.120E-02
6.252870E+01  5.72696E+01  1.5634E+00  7.5744E+00  3.4817E-01  7.9226E+00  6.426E+00  1.983E-02
6.684318E+01  5.73146E+01  1.3947E+00  6.3207E+00  3.2258E-01  6.6433E+00  5.368E+00  1.855E-02
7.145536E+01  5.73424E+01  1.2440E+00  5.2741E+00  2.9945E-01  5.5736E+00  4.482E+00  1.735E-02
7.638578E+01  5.73584E+01  1.1096E+00  4.4005E+00  2.7854E-01  4.6790E+00  3.742E+00  1.623E-02
8.165640E+01  5.73969E+01  9.8626E-01  3.6590E+00  2.5965E-01  3.9186E+00  3.113E+00  1.518E-02
8.729069E+01  5.73925E+01  8.7300E-01  3.0298E+00  2.4260E-01  3.2724E+00  2.579E+00  1.420E-02
9.331374E+01  5.73815E+01  7.7283E-01  2.5090E+00  2.2720E-01  2.7362E+00  2.137E+00  1.329E-02
9.975239E+01  5.73663E+01  6.8421E-01  2.0779E+00  2.1328E-01  2.2912E+00  1.771E+00  1.243E-02
1.066353E+02  5.73485E+01  6.0580E-01  1.7210E+00  2.0070E-01  1.9217E+00  1.468E+00  1.163E-02
1.139931E+02  5.73291E+01  5.3642E-01  1.4256E+00  1.8931E-01  1.6149E+00  1.216E+00  1.088E-02
1.218587E+02  5.73090E+01  4.7503E-01  1.1809E+00  1.7899E-01  1.3599E+00  1.008E+00  1.017E-02
1.302669E+02  5.72887E+01  4.2070E-01  9.7836E-01  1.6963E-01  1.1480E+00  8.352E-01  9.518E-03
1.392553E+02  5.72686E+01  3.7261E-01  8.1059E-01  1.6111E-01  9.7170E-01  6.921E-01  8.903E-03
1.488640E+02  5.72490E+01  3.3004E-01  6.7164E-01  1.5334E-01  8.2498E-01  5.735E-01  8.329E-03
1.591356E+02  5.72300E+01  2.9236E-01  5.5655E-01  1.4624E-01  7.0279E-01  4.753E-01  7.791E-03
1.701159E+02  5.72119E+01  2.5904E-01  4.6129E-01  1.3973E-01  6.0102E-01  3.939E-01  7.288E-03
1.818539E+02  5.71948E+01  2.2981E-01  3.8282E-01  1.3374E-01  5.1656E-01  3.269E-01  6.818E-03
1.944018E+02  5.71787E+01  2.0389E-01  3.1772E-01  1.2820E-01  4.4592E-01  2.714E-01  6.378E-03
2.078156E+02  5.71638E+01  1.8090E-01  2.6371E-01  1.2307E-01  3.8678E-01  2.252E-01  5.966E-03
2.221548E+02  5.71498E+01  1.6052E-01  2.1889E-01  1.1828E-01  3.3717E-01  1.869E-01  5.581E-03
2.374835E+02  5.71369E+01  1.4244E-01  1.8170E-01  1.1381E-01  2.9551E-01  1.552E-01  5.221E-03
2.538699E+02  5.71249E+01  1.2641E-01  1.5084E-01  1.0961E-01  2.6045E-01  1.288E-01  4.884E-03
2.713869E+02  5.71138E+01  1.1218E-01  1.2523E-01  1.0564E-01  2.3087E-01  1.069E-01  4.569E-03
2.901126E+02  5.71036E+01  9.9565E-02  1.0397E-01  1.0188E-01  2.0585E-01  8.871E-02  4.274E-03
3.101304E+02  5.70942E+01  8.8371E-02  8.6323E-02  9.8302E-02  1.8462E-01  7.363E-02  3.998E-03
3.315294E+02  5.70856E+01  7.8440E-02  7.1676E-02  9.4884E-02  1.6656E-01  6.111E-02  3.740E-03
3.544049E+02  5.70777E+01  6.9628E-02  5.9518E-02  9.1606E-02  1.5112E-01  5.072E-02  3.498E-03
3.788588E+02  5.70705E+01  6.1809E-02  4.9424E-02  8.8452E-02  1.3788E-01  4.210E-02  3.273E-03
4.050001E+02  5.70639E+01  5.4871E-02  4.1044E-02  8.5408E-02  1.2645E-01  3.494E-02  3.061E-03
4.329451E+02  5.70578E+01  4.8714E-02  3.4086E-02  8.2462E-02  1.1655E-01  2.900E-02  2.864E-03
